user_id,course_index,course_name,match_type,rating
10,1517,An Introduction to Global Health,random,2.95
10,1456,Customer Value in Pricing Strategy,random,3.7
10,859,Docker Essentials & Building a Containerized Web Application,random,3.25
10,2746,Spatial Analysis and Satellite Imagery in a GIS,random,2.55
10,1094,Introduction to Physical Chemistry,random,3.25
10,2875,Global sustainability and corporate social responsibility: Be sustainable,random,4.08
10,2800,"Two Speed IT: How Companies Can Surf the Digital Wave, a BCG Perspective",random,2.97
10,2655,Genius. Talent. Golden Mediocrity,random,4.1
11,2970,Essential Google Cloud Infrastructure: Foundation,high,3.25
11,3001,Hybrid Cloud Infrastructure Foundations with Anthos,high,4.63
11,702,Elastic Google Cloud Infrastructure: Scaling and Automation,high,4.33
11,2218,Presentation skills:  Effective Presentation Delivery,low,2.12
11,2989,Network Data Science with NetworkX and Python,random,3.06
12,530,Creating Custom Callbacks in Keras,high,3.5
12,1515,Create Your First Game with Python,high,4.21
12,1445,Python for Genomic Data Science,high,4.44
12,909,Principles of Computing (Part 1),high,4.89
12,2931,Testing and Debugging Python,high,4.09
12,2647,Create Animation Transitions in Unity (Intro to Animation 2),low,1.81
12,2823,Google Cloud Product Fundamentals,random,2.65
13,1102,Hybrid Cloud Multi-Cluster with Anthos,high,4.67
13,1759,Essentials in Clinical Simulations Across the Health Professions,high,4.43
13,342,Leading People and Teams Capstone,high,4.09
13,3356,Operations Management: Analysis and Improvement Methods,high,4.51
13,3257,IT Project Management,high,4.34
13,2428,"Energy, Environment, and Everyday Life",high,4.69
13,943,Electric Industry Operations and Markets,high,4.02
13,1047,Data Science in Real Life,high,4.17
13,826,Accounting for Business Decision Making: Measurement and Operational Decisions,high,4.14
13,2964,Managerial Accounting: Tools for Facilitating and Guiding Business Decisions,high,3.71
13,869,Cloud Networking,low,2.48
13,2330,AWS Fundamentals: Going Cloud-Native,random,3.18
14,1088,Position Elements on a Page with CSS,high,4.3
14,2996,Style Tables with CSS,high,4.21
14,3317,Style Images with CSS,high,3.73
14,502,3D Printing Applications,high,4.13
14,2635,Basic Skills in Constructive Communication,low,2.09
14,1881,Behavior Driven Development with Selenium and Cucumber,random,2.44
14,586,Conduct Sales Projections with Seasonality in Google Sheets,random,2.89
14,1085,Innovations in Investment Technology: Artificial Intelligence,random,3.28
14,572,TensorFlow for AI: Computer Vision Basics,random,4.32
15,3051,Simple Nearest Neighbors Regression and Classification,low,2.4
15,2299,Deciphering Secrets: The Illuminated Manuscripts of Medieval Europe,random,3.18
15,2207,Introduction to Ordinary Differential Equations,random,2.95
15,1076,Introduction to Systematic Review and Meta-Analysis,random,1.66
15,3060,Music for Wellness,random,2.98
15,2394,Create Docker Container with Flask Seaborn Regression Plot App,random,3.04
15,1754,Social Network Analysis,random,4.72
16,2128,Major and Principal Gifts,high,4.22
16,1540,Digital Transformations,high,4.42
16,928,The Fundamentals of Revenue Management: The Cornerstone of Revenue Strategy,high,4.29
16,2984,Strategy Formulation,high,3.83
16,2718,Strategy Implementation,high,4.76
16,577,Management of Fashion and Luxury Companies,high,4.6
16,348,"Anticipating Your Next Battle, in Business and Beyond",high,4.62
16,765,Digital Manufacturing & Design,high,3.94
16,638,Fundamentals of Graphic Design,low,3.14
16,2577,The Technology of Music Production,random,2.02
17,3111,Capstone: Creating A Sustainability Proposal,high,4.53
17,2872,Discover Best Practice Farming for a Sustainable 2050,high,5.0
17,2382,Ecology: from cells to Gaia,high,3.9
17,954,Ecosystem Services: a Method for Sustainable Development,high,4.07
17,1577,Measure and Optimize Social Media Marketing Campaigns,low,2.36
17,1564,Nearest Neighbor Collaborative Filtering,random,2.65
18,2167,Exploring Beethoven's Piano Sonatas Part 6,low,1.37
18,1029,Capstone: Build a Winning Investment Portfolio,random,3.05
18,2267,Create a Mortgage Payment Calculator in Google Sheets,random,2.26
18,47,Analyzing Market Attractiveness Using Creately,random,3.33
18,2787,Introduction to Structured Query Language (SQL),random,2.36
18,2953,Basic Cryptography and Programming with Crypto API,random,4.08
18,469,Analyze Text Data with Yellowbrick,random,2.45
18,2793,BMC and Start-up Funding for Early-Stage Start-ups,random,2.77
18,2200,Public Policy Challenges of the 21st Century,random,3.57
18,3076,Ash-Related Operational Challenges in Energy Utilization of Sustainable Fuels,random,2.14
18,1092,Sales Training: Building Your Sales Career,random,3.16
19,303,Making Sense of the News: News Literacy Lessons for Digital Citizens,high,4.82
19,2893,3D Interactions and Navigation,high,3.66
19,1781,Future Development in Supply Chain Finance and Blockchain Technology,low,2.41
19,648,Our Earth's Future,random,3.18
19,1860,Analyzing Product Opportunities with Creately,random,3.55
19,13,Business Statistics and Analysis Capstone,random,2.13
19,2960,Kinematics: Describing the Motions of Spacecraft,random,2.08
19,2950,Investments II: Lessons and Applications for Investors,random,3.37
19,1079,"JavaScript, jQuery, and JSON",random,3.21
20,697,Guitar Performance Techniques,high,4.4
20,2347,Convolutional Neural Networks,high,4.44
20,437,Weight Management: Beyond Balancing Calories,high,4.03
20,2994,Deep Learning for Business,high,4.39
20,1177,Deep Neural Networks with PyTorch,high,4.42
20,3057,Health in Complex Humanitarian Emergencies,high,4.01
20,2800,"Two Speed IT: How Companies Can Surf the Digital Wave, a BCG Perspective",high,5.0
20,770,"Machine Learning:  Predict Numbers from Handwritten Digits using a Neural Network, Keras, and R",high,4.49
20,597,Computational Neuroscience,high,3.82
20,1785,Matrix Factorization and Advanced Techniques,high,4.56
20,3208,Simulation and modeling of natural processes,low,1.72
20,663,Fundamentals of Immunology: Innate Immunity and B-Cell Function,random,3.55
21,2796,Design Thinking for the Greater Good: Innovation in the Social Sector,high,4.76
21,115,Information & Digital Literacy for University Success,high,3.97
21,2481,Words Spun Out of Images: Visual and Literary Culture in Nineteenth Century Japan,high,4.69
21,1877,"Religion and Thought in Modern China: the Song, Jin, and Yuan",high,4.47
21,3246,Blockchain in Financial Services: Strategic Action Plan,high,4.63
21,2688,"Film, Images & Historical Interpretation in the 20th Century: The Camera Never Lies",high,5.0
21,1487,Spatial Data Science and Applications,low,2.15
21,3311,Computational Social Science Methods,random,2.47
21,1260,Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,random,2.38
21,981,Image Processing with Python,random,2.43
21,238,Design Patterns,random,2.95
21,987,Django Features and Libraries,random,3.24
22,719,EMT Foundations,high,4.41
22,2297,Dino 101: Dinosaur Paleobiology,high,4.63
22,2751,"Medical Emergencies: Airway, Breathing, and Circulation",high,4.31
22,3120,Analysis of Algorithms,low,3.17
22,2182,Techniques for Teaching Adjectives and Adjective Clauses,random,2.81
23,529,Bayesian Statistics: From Concept to Data Analysis,high,5.0
23,683,Arch of Titus: Rome and the Menorah,high,4.55
23,3260,Miracles of Human Language: An Introduction to Linguistics,high,3.96
23,2476,Statistics with R Capstone,high,3.87
23,2165,Teach English Now! Theories of Second Language Acquisition,low,2.59
23,2488,Design Thinking and Predictive Analytics for Data Products,random,2.84
24,1701,Sustainable Innovation for Subsistence Marketplaces,high,4.59
24,3142,Budgeting essentials and development,high,4.49
24,2030,Cultural and creative industries,high,4.27
24,2317,Analyze Stock Data using R and Quantmod Package,high,3.96
24,2298,Mastering Software Development in R Capstone,high,3.69
24,2179,Six Sigma Tools for Improve and Control,high,4.12
24,938,Introduction to Line Balancing Using Precedence Diagram,high,4.64
24,2597,C++ Decision Programming,high,4.39
24,1287,Introduction to Basic Game Development using Scratch,low,1.55
24,1636,"Accounting, Business and Society:  The Multi-faceted Role of Accounting",random,3.12
25,2595,Emotion AI: Facial Key-points Detection,high,4.45
25,3044,Create Python Linux Script to Generate a Disk Usage Report,high,3.95
25,2663,Design and Simulate Smart Home Networks in Packet Tracer,high,4.36
25,588,Predict Sales Revenue with scikit-learn,high,4.32
25,1713,Geo-Visualization in Python,high,3.84
25,1500,Create a Python Application using PyMongo and MongoDB Database,high,4.44
25,481,Building an Ecosystem model with Insight Maker,high,4.52
25,1439,Data Science Methodology,low,2.95
25,86,"Introduction to CAD, CAM, and Practical CNC Machining",random,3.74
26,602,RESTful API with HTTP and JavaScript,high,3.75
26,2359,Business Implications of AI: Full course,high,3.92
26,562,Build A Google Firebase Web App (Part II),high,4.51
26,1510,"Leading for Equity, Diversity and Inclusion in Higher Education",high,4.51
26,2242,Essentials for English Speeches and Presentations  ???????,high,4.51
26,939,"AI Workflow: Machine Learning, Visual Recognition and NLP",low,4.61
26,276,Introduction to Data Analysis Using Excel,random,3.4
26,128,"Disinformation, Misinformation, and Fake News Teach-Out",random,3.79
26,1356,"Statistical Thinking for Industrial Problem Solving, presented by JMP",random,3.67
26,290,Real-Time Mission-Critical Systems Design,random,3.46
26,2109,Measuring and Maximizing Impact of COVID-19 Contact Tracing,random,2.78
26,977,Mergers and Acquisitions � The Relentless Pursuit of Synergy,random,3.53
27,2740,An Introduction to Interactive Programming in Python (Part 1),low,1.84
27,1988,Identifying Security Vulnerabilities,random,2.83
27,877,Introduction to Pointers and Memory Management in C/C++,random,2.66
27,2208,Introduction to Topic Modeling for Business,random,3.06
27,541,Data Management and Visualization,random,4.62
27,2963,Requirements Writing,random,1.69
27,2338,Machine Learning With Big Data,random,3.48
27,2360,Paleontology: Ancient Marine Reptiles,random,1.87
28,995,"Teacher SEL: Programs, Possibilities, and Contexts",low,2.02
28,3214,Managing Network Security,random,3.76
28,1938,Experimentation for Improvement,random,3.04
28,3308,Planning for Climate Change in African Cities,random,2.25
28,1668,Networking in Google Cloud: Hybrid Connectivity and Network Management,random,2.5
28,779,Creating a Customer Service Survey Using Google Forms,random,3.48
28,386,Production Machine Learning Systems,random,2.49
28,397,Relational database systems,random,3.15
28,2700,Studying Cities: Social Science Methods for Urban Research,random,3.03
28,1766,AI for Medical Diagnosis,random,2.54
28,1452,Blended Language Learning: Design and Practice for Teachers,random,4.5
29,1252,Academic Skills for University Success: Capstone,high,4.55
29,1883,(Non) Status quo Attitudes with NetLogo,high,3.49
29,308,Create Charts and Dashboard using Google Sheets,high,4.37
29,470,Intellectual Change in Early China: Warring States and Han,high,4.04
29,2242,Essentials for English Speeches and Presentations  ???????,high,4.64
29,680,Art & Ideas: Teaching with Themes,high,3.98
29,659,Communication Skills for University Success,high,4.25
29,3389,Capstone Project: Teaching Impacts of Technology,high,4.5
29,1023,Moralities of Everyday Life,low,2.82
29,788,What is Palliative Care?,random,2.16
30,2869,Applied Social Network Analysis in Python,high,4.17
30,2535,Language Classification with Naive Bayes in Python,high,4.11
30,671,Meaningful Predictive Modeling,high,4.04
30,2473,Statistical Data Visualization in Python,high,5.0
30,895,Introduction to Computer Vision with Watson and OpenCV,high,4.46
30,1166,The Psychology of Thrill Seekers,low,1.54
30,1897,Machine Learning for Business Professionals,random,3.64
31,524,Fundamentals of Visualization with Tableau,high,5.0
31,1829,Client Booking & Scheduling with Picktime,high,4.71
31,3015,Framework for Data Collection and Analysis,high,3.69
31,1980,Developing Data Products,high,4.11
31,396,Data Visualization and Communication with Tableau,high,4.81
31,208,Environmental Management & Ethics,low,1.88
31,2676,An Introduction to Accessibility and Inclusive Design,random,3.31
32,216,Technical Writing,high,4.61
32,483,Advanced Grammar & Punctuation Project,high,3.93
32,1252,Academic Skills for University Success: Capstone,high,4.28
32,1060,Business Case Analysis,high,3.0
32,1786,Fundamentals of financial and management accounting,high,3.89
32,1994,English Composition I,high,4.2
32,2229,America's Unwritten Constitution,high,3.8
32,589,Introduction to Research for Essay Writing,high,4.95
32,2831,Verb Tenses and Passives,high,3.73
32,1069,Project: Writing a Research Paper,high,4.12
32,241,Create UI in Unity Part 3 - Settings Menu,low,2.38
32,678,Expanding SEL,random,4.01
33,253,Introduction to Biomedical Engineering,high,3.73
33,1423,Generative Design for Part Consolidation,high,4.77
33,1016,Photovoltaic solar energy,high,4.3
33,1451,Building Arduino robots and devices,high,3.91
33,2337,Multi-Axis CNC Toolpaths,high,4.48
33,2920,Ferrous Technology II,high,4.38
33,1475,Electrodynamics: Electric and Magnetic Fields,high,4.06
33,2252,3-Axis Machining with Autodesk Fusion 360,high,4.33
33,636,Ethical Social Media,low,2.07
33,779,Creating a Customer Service Survey Using Google Forms,random,3.08
34,1172,Handheld AR App Development with Unity,high,4.56
34,379,Getting Started With Game Development Using PyGame,high,4.93
34,1202,Tables and Forms in HTML,high,3.8
34,1761,Fundamentals of waves and vibrations,high,5.0
34,1792,Internet of Things: Sensing and Actuation From Devices,high,3.52
34,2514,"Compare Inline, Internal, and External CSS",high,4.24
34,3072,Russian company law. Company management,low,2.65
34,1287,Introduction to Basic Game Development using Scratch,random,3.2
35,209,Create a Buy Signal using RSI in R with the Quantmod Package,high,4.05
35,2532,Oceanography: a key to better understand our world,high,4.22
35,1958,Introduction to Galois Theory,low,2.0
35,2061,Introduction to Software Testing,random,2.59
36,2249,Building Classroom Community Using Flipgrid,high,4.64
36,3042,Business English: Finance and Economics,high,4.44
36,2080,AI Workflow: Enterprise Model Deployment,low,1.88
36,328,A Complete Reinforcement Learning System (Capstone),random,3.63
36,761,Introduction to Statistical Analysis:  Hypothesis Testing,random,3.22
36,280,African cities : An Introduction to Urban Planning,random,3.57
36,2439,Seeking Investment Alpha,random,3.44
36,278,Developing AI Applications on Azure,random,2.42
36,2767,RStudio for Six Sigma - Basic Descriptive Statistics,random,2.61
36,963,Mastering bitumen for better roads and innovative applications,random,3.52
36,1653,Building Interactive 3D Characters and Social VR,random,3.43
36,491,Software Processes and Agile Practices,random,2.99
37,1312,Foundations for Global Health Responders,high,4.35
37,2333,How to Change the World,high,4.81
37,508,Non-Communicable Diseases in Humanitarian Settings,high,4.06
37,714,What is news?,high,4.52
37,1146,Global Diplomacy: the United Nations in the World,high,4.22
37,1722,The Bilingual Brain,low,2.17
37,2698,Business Analytics for Decision Making,random,3.77
38,1685,Financing and Profiting from Innovation for Corporate Entrepreneurs,high,4.63
38,1355,Financial Risk Management with R,high,4.63
38,1125,Build CRUD REST API in Django,high,4.82
38,3337,Leadership in 21st Century Organizations,high,4.31
38,1228,Modeling and Design for Mechanical Engineers with Autodesk Fusion 360,high,4.57
38,3332,Planning your Client's Wealth over a 5-year Horizon,high,4.18
38,2049,Concept Art for Video Games,high,4.43
38,707,"Grow to Greatness: Smart Growth for Private Businesses, Part I",high,4.25
38,1544,Career Brand Development and Self-Coaching,high,4.34
38,2485,Change Leadership: Strategic Route Analysis with Miro,high,4.54
38,1328,Advanced Financial Reporting: Accounting for Business Combinations and Preparation of Consolidated Financial Statements,low,1.81
38,3088,Automate an e-commerce web application using Selenium & Java,random,4.46
39,82,Mastering SQL Joins,high,3.9
39,2436,University Admission Prediction Using Multiple Linear Regression,high,3.81
39,748,Optimization of Topic Models using Grid Search Method,high,4.76
39,301,Engaging ELLs and Their Families in the School and Community,low,2.77
39,2205,Moving to the Cloud,random,3.44
40,2072,Chimpanzee Behavior and Conservation,low,2.68
40,1086,Precalculus: Periodic Functions,random,2.99
40,542,Improving Your Statistical Questions,random,2.37
40,1429,Strategic Self-Marketing and Personal Branding,random,3.05
40,281,iOS Project: Transreality Game,random,2.53
40,1000,Introduction to Programming and Animation with Alice,random,3.68
40,1513,Materials in Oral Health,random,2.9
41,200,Data-driven Astronomy,high,3.97
41,2289,A Crash Course in Data Science,high,4.17
41,2226,The Power of Macroeconomics: Economic Principles in the Real World,low,2.55
41,2884,Precalculus: Relations and Functions,random,2.61
41,1240,Create Fault Tolerant MongoDB Cluster,random,2.42
41,2508,Introduction to Supply Chain Finance & Blockchain Technology,random,3.17
41,3308,Planning for Climate Change in African Cities,random,3.17
41,2681,Infonomics I: Business Information Economics and Data Monetization,random,2.65
42,241,Create UI in Unity Part 3 - Settings Menu,high,4.11
42,1736,R Programming,high,4.39
42,1104,"Abstraction, Problem Decomposition, and Functions",high,3.72
42,909,Principles of Computing (Part 1),high,3.74
42,2511,Introductory Human Physiology,high,4.01
42,969,Introduction to Systems Biology,high,4.21
42,725,"Javascript animation for websites, storytelling, data visualization and games",high,4.42
42,2069,"Excel/VBA for Creative Problem Solving, Part 1",high,4.89
42,439,Hardware Description Languages for FPGA Design,low,2.81
42,3049,Motion Planning for Self-Driving Cars,random,2.89
42,2274,Fitting Statistical Models to Data with Python,random,2.99
42,638,Fundamentals of Graphic Design,random,2.3
43,890,Create a text adventure game with Ink,high,4.29
43,2271,How To Create a Website in a Weekend! (Project-Centered Course),high,4.18
43,554,Create Interactive Dashboards with Streamlit and Python,high,4.43
43,1283,Information Visualization: Programming with D3.js,high,3.97
43,2829,"GIS Data Formats, Design and Quality",high,4.51
43,3381,Applied Data Science Capstone,high,4.91
43,2089,UX and Interface Design for Embedded Systems,low,2.23
43,2004,"HTML, CSS, and Javascript for Web Developers",random,3.28
44,3097,Embedded Hardware and Operating Systems,high,4.58
44,2900,Data Analytics for Lean Six Sigma,high,4.14
44,65,Global Disease Masterclass: Global Disease Distribution,high,4.39
44,172,Introduction to the Internet of Things and Embedded Systems,high,4.31
44,2274,Fitting Statistical Models to Data with Python,high,4.34
44,1587,Regression Modeling Fundamentals,high,3.99
44,1143,"""Making"" Progress Teach-Out",low,2.31
44,182,Standardisation & Technology,random,3.35
45,812,Finance for Everyone: Decisions,high,4.88
45,2507,Image Denoising Using AutoEncoders in Keras and Python,high,4.68
45,540,Children's Human Rights - An Interdisciplinary Introduction,low,3.59
45,2612,Autodesk Certified Professional: Revit for Structural Design Exam Prep,random,2.46
46,1241,Java Programming: Build a Recommendation System,high,4.65
46,2457,Build an App in Android Studio using Resources,high,4.37
46,2115,Data Structures and Performance,high,5.0
46,2260,Concurrent Programming in Java,high,3.98
46,2386,Build Your First Android App (Project-Centered Course),high,3.96
46,2099,Object-Oriented Design,high,4.06
46,2317,Analyze Stock Data using R and Quantmod Package,low,1.03
46,39,Protecting Business Innovations via Patent,random,2.63
47,308,Create Charts and Dashboard using Google Sheets,low,1.84
47,2831,Verb Tenses and Passives,random,3.11
47,611,Chosen Issues in Holocaust History,random,3.24
47,2235,Pro Tools Basics,random,4.31
47,147,Scandinavian Film and Television,random,3.67
48,1836,Managing G Suite,high,4.07
48,1830,Academic Information Seeking,high,3.94
48,279,Hiring and Onboarding Employees with ClickUp,high,4.5
48,1729,Introduction to Project Management with ClickUp,high,3.77
48,3312,The Business of Social,high,5.0
48,10,Agile Projects:  Developing Tasks with Taiga,high,4.77
48,1810,Introduction to Google Docs,high,4.11
48,1499,Monetary Policy in the Asia Pacific,low,1.27
48,3267,Neural Network from Scratch in TensorFlow,random,3.95
49,2244,Java Programming: Principles of Software Design,high,4.25
49,1360,Advanced R Programming,high,4.8
49,2854,AI Workflow: AI in Production,low,1.34
49,1022,Exploring Beethoven's Piano Sonatas Part 4,random,2.58
50,1857,Data Visualization with Plotly Express,high,4.3
50,2727,Analyze Box Office Data with Seaborn and Python,high,4.32
50,1980,Developing Data Products,high,4.12
50,2550,Plastic electronics,low,2.67
50,3073,Number Theory and Cryptography,random,2.25
51,1242,Business Analysis & Process Management,high,4.24
51,3337,Leadership in 21st Century Organizations,high,4.35
51,1045,Implementing a Patient Safety or Quality Improvement Project (Patient Safety V),high,4.51
51,3145,Introduction to Docker : The Basics,high,4.58
51,3376,"Sit Less, Get Active",low,1.63
51,725,"Javascript animation for websites, storytelling, data visualization and games",random,1.93
52,7,"Programming Languages, Part A",high,4.81
52,752,Plots (Graphics) for Data Science,high,4.43
52,2158,Advanced App Development in Android Capstone,high,4.0
52,2900,Data Analytics for Lean Six Sigma,high,4.92
52,2175,Mastering Data Analysis in Excel,high,4.35
52,846,Measuring Causal Effects in the Social Sciences,high,4.77
52,2058,Custom Prediction Routine on Google AI Platform,high,4.33
52,232,Deploy Models with TensorFlow Serving and Flask,high,5.0
52,1100,Blockchain Transformations of Financial Services,low,3.35
52,654,First Step Korean,random,2.83
53,242,Autodesk Certified Professional: Inventor for Mechanical Design Exam Prep,high,4.69
53,158,"Penetration Testing, Incident Response and Forensics",low,2.69
53,1929,Developing a Systems Mindset,random,3.96
53,913,Intellectual Humility: Science,random,2.32
53,819,Enjoyable Econometrics,random,3.48
54,1432,Object-Oriented Programming with Java,low,2.94
54,1250,Setting Up a Digital Library with EPIC,random,1.77
54,3361,Getting started with TensorFlow 2,random,2.17
54,3258,Capstone:  Autonomous Runway Detection for IoT,random,1.57
54,932,Introduction to Who Wrote Shakespeare,random,2.81
54,913,Intellectual Humility: Science,random,3.5
54,96,Product Design: Designing a modern table lamp using SketchUp,random,4.05
54,2704,International Business II,random,3.05
54,791,America Through Foreign Eyes,random,4.14
54,1633,MBSE: Model-Based Systems Engineering,random,2.03
54,1344,Confronting Gender Based Violence: Global Lessons for Healthcare Workers,random,1.81
55,445,AstroTech: The Science and Technology behind Astronomical Discovery,high,4.28
55,2240,Big History - From the Big Bang until Today,high,4.45
55,1439,Data Science Methodology,low,2.28
55,2630,Interaction Design Capstone Project,random,1.55
55,2088,"Using JavaScript, JQuery, and JSON in Django",random,2.94
55,1639,International and Cross-Cultural Negotiation,random,2.09
55,2786,Commercialization of innovation activity results,random,3.47
55,2198,Magic in the Middle Ages,random,3.26
56,113,Exception Handling in Python,low,1.74
56,473,Draw Insights with Crosstabs Reports in Google Sheets,random,2.64
56,1070,Wind Energy,random,2.26
56,732,Computer Vision: Neural Transfer Style & Green Screen Effect,random,2.96
56,2379,The Raspberry Pi Platform and Python Programming for the Raspberry Pi,random,3.67
56,1088,Position Elements on a Page with CSS,random,2.31
56,157,Our Energy Future,random,3.35
56,445,AstroTech: The Science and Technology behind Astronomical Discovery,random,2.63
56,2444,UI Design Capstone,random,2.44
57,1350,C# Programming for Unity Game Development Capstone Project,high,4.26
57,1194,Building a Text-Based Bank in Java,high,3.89
57,1865,FPGA Capstone:  Building FPGA Projects,high,4.08
57,2460,"Programming Foundations with JavaScript, HTML and CSS",high,3.82
57,2221,Become a JavaScript Pro with these 7 Skills,high,5.0
57,393,Troubleshooting and Debugging Techniques,high,4.31
57,1472,Interactivity with JavaScript,high,4.02
57,2298,Mastering Software Development in R Capstone,high,4.39
57,794,"Introduction to Containers w/ Docker, Kubernetes & OpenShift",low,2.23
57,1045,Implementing a Patient Safety or Quality Improvement Project (Patient Safety V),random,2.85
58,3041,Relational Database Support for Data Warehouses,high,4.55
58,90,Create Relational Database Tables Using SQLiteStudio,high,4.6
58,2131,Launch Strategy: 5 Steps to Capstone Experience,low,1.98
58,3306,International Law In Action: Investigating and Prosecuting International Crimes,random,2.6
59,1501,Understanding and Visualizing Data with Python,high,4.19
59,1381,Emotions: a Philosophical Introduction,high,3.38
59,1582,AI for Medical Prognosis,high,3.69
59,263,Survival Analysis in R for Public Health,high,4.85
59,2476,Statistics with R Capstone,high,4.96
59,3081,Six Sigma Tools for Define and Measure,high,4.2
59,1169,Statistical Inference,high,4.53
59,2316,Principles of fMRI 1,high,4.42
59,1099,Build Data Analysis tools using R and DPLYR,high,5.0
59,3128,Six Sigma Advanced Define and Measure Phases,high,4.75
59,517,Practical Time Series Analysis,low,2.22
59,2957,Perfect Tenses and Modals,random,2.33
60,3009,Increasing Real Estate Management Profits: Harnessing Data Analytics,high,3.66
60,1995,Data Analysis with Python,high,4.38
60,2443,Building and analyzing linear regression model in R,high,4.0
60,2056,Intelligence Tools for the Digital Age,high,3.73
60,2425,Build NLP pipelines using scikit-learn,high,4.04
60,1897,Machine Learning for Business Professionals,high,3.87
60,2371,Introduction to Blockchain: Evolution and Technology Concepts,low,3.31
60,521,Automating Real-World Tasks with Python,random,3.62
61,1783,Use Canva to Create an Interactive Mind Map,high,4.3
61,3158,Create Online Employee Onboarding Course with Eduflow,high,4.89
61,1762,Internet of Things V2: Setting up and Using Cloud Services,high,4.33
61,3379,Decision Criteria & Applications,high,3.96
61,1049,The Pronunciation of American English Project,high,4.91
61,2539,Interpersonal Communication for Engineering Leaders,low,2.62
61,2334,Supervised Learning: Regression,random,2.27
62,1705,"Applied Public History: Places, People, Stories",high,4.22
62,2745,Genomic Data Science with Galaxy,high,3.95
62,1323,C++ Arrays and Loops,high,3.75
62,1477,Use SurveyMonkey to Create a Survey and Analyze Results,high,4.67
62,1655,Introduction to the Orbital Perspective,high,5.0
62,2925,Mandarin Chinese 3: Chinese for Beginners,high,3.74
